company,ipo,founding
Innotech,19960314,1988
Isocor,19960314,1991
MindSpring Enterprises,19960314,1994
Prism Solutions,19960314,1991
IDT,19960315,1995
Individual,19960315,1989
JDA Software Group,19960315,1995
Biofield,19960319,1987
Elamex,19960319,1990
EuroMed,19960319,1994
Gateway Data Sciences,19960319,1985
Semiconductor Laser Intl,19960319,1993
ThermoQuest,19960319,1981
Dawson Production Services,19960320,1951
Logal Educational Software,19960320,1985
AlphaNet Solutions,19960321,1984
Analogy,19960321,1985
Cimatron,19960321,1982
Eagle River Interactive,19960321,1994
First USA Paymentech,19960321,1985
Intelligent Medical Imaging,19960321,1989
Smartserv Online,19960321,1993
Wanderlust Interactive,19960321,1994
Workgroup Technology,19960321,1992
Intelliquest Information Grp,19960322,1985
Belco Oil & Gas,19960325,1996
Katz Digital Technologies,19960325,1986
Onyx Acceptance,19960325,1993
May & Speh,19960326,1947
Party City,19960326,1990
Penske Motorsports,19960326,1995
Profit Recovery Group,19960326,1990
Bacou USA,19960327,1993
FemRx,19960327,1992
GalaGen,19960327,1992
PCD,19960327,1976
Thermo Sentron,19960327,1953
Century Aluminum,19960328,1957
Segue Software,19960328,1988
Tadiran Telecommunications,19960328,1982
Barnett,19960329,1914
Houghten Pharmaceuticals,19960329,1991
Lycos,19960401,1995
Arterial Vascular Engineering,19960402,1991
Bonded Motors,19960402,1971
KVH Industries,19960402,1978
Microware Systems,19960402,1977
Sipex,19960402,1965
York Group,19960402,1990
Ansoft,19960403,1984
DecisionOne Holdings,19960403,1969
Excite Inc,19960403,1994
Housecall Medical Resources,19960403,1995
Lucent Technologies,19960403,1925
Sapient,19960403,1991
Cost Plus,19960404,1958
Praegitzer Industries,19960404,1981
Parts Source,19960408,1992
Qualmark,19960408,1991
Batteries Batteries,19960409,1983
Applewoods,19960411,1978
Ribozyme Pharmaceuticals,19960411,1992
Universal Display,19960411,1985
Worldtalk Communications,19960412,1992
Yahoo!,19960412,1994
Applied Graphics Technologies,19960416,1995
Terra Nova(Bermuda)Holdings,19960416,1969
Walsh International,19960416,1988
Kentek Information Systems,19960417,1981
Suiza Foods,19960417,1974
CardioThoracic Systems,19960418,1995
CompuServe,19960418,1969
LanVision Systems,19960418,1989
Planet Hollywood Internatnl,19960418,1991
Transition Systems,19960418,1985
Thrifty Payless Holdings,19960419,1919
Carbo Ceramics,19960422,1987
Travelers/Aetna Property,19960422,1900
AXENT Technologies,19960423,1991
InVision Technologies,19960423,1990
Shells Seafood Restaurants,19960423,1993
Outdoor Systems,19960424,1980
Affinity Technology Group,19960425,1994
American Portable Telecom,19960425,1991
Casa Ole Restaurants,19960425,1979
Heartport,19960425,1991
MotorVac Technologies,19960425,1991
i2 Technologies,19960425,1988
SpectraLink,19960426,1990
Infonautics,19960429,1992
Polycom,19960429,1990
Sykes Enterprises,19960429,1977
JPM,19960430,1949
Physiometrix,19960430,1990
Western Staff Services,19960430,1948
Wiztec Solutions,19960430,1993
Autonomous Technologies,19960501,1985
Biopsys Medical,19960501,1993
Bolder Technologies,19960501,1991
Glas-Aire Industries Group,19960501,1982
Sawtek,19960501,1979
Brooks Fiber Properties,19960502,1993
Edify,19960502,1989
Jakks Pacific,19960502,1995
Lion Brewery,19960502,1933
Marks Bros. Jewelers,19960502,1947
Whittman-Hart,19960503,1984
Harrington Financial Group,19960506,1889
Millennium Pharmaceuticals,19960506,1969
Associates First Capital,19960507,1918
Loehmann's (May Department),19960507,1921
OpenVision Technologies,19960507,1988
Zomax Optical Media,19960507,1993
BioTransplant,19960508,1990
En Pointe Technologies,19960508,1993
Forensic Technologies Intern,19960508,1982
Nova,19960508,1991
Designer Holdings,19960509,1984
Digital Video Systems,19960509,1992
ONYX Pharmaceuticals,19960509,1992
Polymer Group,19960509,1994
SIBIA Neurosciences,19960509,1981
Toolex Alpha,19960509,1951
American Wagering,19960510,1978
Excel Communications,19960510,1988
Forasol-Foramer,19960510,1953
General Surgical Innovations,19960510,1992
Touch Tone America,19960510,1989
Vincam Group,19960510,1986
"First Fin Corp,Providence,RI",19960513,1982
Coach USA,19960514,1928
Legacy Software,19960514,1986
Mechanical Dynamics,19960514,1977
Microcide Pharmaceuticals,19960514,1992
West Coast Entertainment,19960514,1989
Asahi/America,19960515,1972
General Chemical Group,19960515,1899
SunStar Healthcare,19960515,1995
ACC Consumer Finance,19960516,1995
Aksys,19960516,1991
Conversion Technologies,19960516,1994
Fortress Group,19960516,1980
Oacis Healthcare Holdings,19960516,1994
Premier Financial Bancorp,19960516,1991
Trico Marine Services,19960516,1993
UroCor,19960516,1985
GeoScience,19960517,1980
Publishing Co of N. America,19960517,1993
Wyndham Hotel,19960520,1982
CardioGenesis,19960521,1993
Craig Consumer Electronics,19960521,1989
Saks Holdings,19960521,1990
American States Financial,19960522,1929
Avigen,19960522,1992
Digene,19960522,1985
Electronic Hair Styling,19960522,1993
Garden Botanika,19960522,1989
Open Market,19960522,1994
Western Wireless,19960522,1994
99 Cents Only Stores,19960523,1965
Medallion Financial,19960523,1979
Neurocrine Biosciences,19960523,1992
Novoste,19960523,1987
Suburban Lodges of America,19960523,1987
Aspect Development,19960524,1990
Cerion Technologies,19960524,1982
Tysons Financial,19960524,1989
Photran,19960529,1991
Premier Parks,19960529,1971
n-Vision,19960529,1994
AirNet Systems,19960530,1974
Exactech,19960530,1985
Imagyn Medical,19960530,1989
Open Plan Systems,19960530,1989
Sunquest Information Systems,19960530,1979
Urologix,19960530,1991
Eclipse Surgical Technologies,19960531,1989
SS&C Technologies,19960531,1986
Sunrise Assisted Living,19960531,1981
Paravant Computer Systems,19960603,1982
Titanium Metals,19960604,1950
ASE Test,19960605,1987
Genset,19960605,1989
Registry,19960605,1986
Virus Research Institute,19960605,1991
Affymetrix,19960606,1992
Innovasive Devices,19960606,1991
Rush Enterprises,19960606,1965
Fusion Medical Technologies,19960607,1992
Thermo Optek,19960607,1984
Collaborative Clinical,19960610,1991
McLeod,19960610,1991
Verilink,19960610,1982
EntreMed,19960611,1991
Harborside Healthcare,19960611,1988
Infoseek,19960611,1993
Cardiac Pathways,19960612,1991
Farallon Communications,19960612,1986
Diatide,19960613,1990
DuPont Photomasks,19960613,1988
Metromail,19960613,1979
PageMart Wireless,19960613,1989
Southern Pacific Funding,19960613,1993
Andrx,19960614,1992
ICT Group,19960614,1986
Unify,19960614,1980
Ugly Duckling,19960617,1992
Boston Communications Group,19960618,1988
CFM Technologies,19960618,1994
Visible Genetics,19960618,1993
Bigmar,19960619,1995
CardioVascular Dynamics,19960619,1992
Dayton Superior Corp,19960619,1924
Diamond Home Services,19960619,1993
Fine Host,19960619,1985
Interstate Hotels,19960619,1961
ANSYS,19960620,1994
Aradigm,19960620,1991
CollaGenex,19960620,1992
Keystone Automotive Industs,19960620,1947
Pacific Greystone,19960620,1991
Ryerson Tull,19960620,1893
Thermatrix,19960620,1985
USCS International,19960620,1965
Borealis Technology,19960621,1988
BroadVision,19960621,1993
EP MedSystems,19960621,1993
Rutherford-Moran Oil,19960621,1990
Sabratek,19960621,1989
Genesee & Wyoming,19960624,1899
Grand Prix Assoc Long Beach,19960624,1975
Kideo Productions,19960624,1994
Multicom Publishing,19960624,1992
PacificAmerica Money Center,19960624,1981
Providence Journal,19960624,1884
Electroscope,19960625,1991
Heritage Propane Prtnrs LP,19960625,1996
"IMC Mortgage, Tampa,Florida",19960625,1993
Aviation Sales,19960626,1992
Central Financial Acceptance,19960626,1996
ICTS Holland Production,19960626,1992
Integ,19960626,1990
CheckPoint Software Tech,19960627,1969
Donna Karan International,19960627,1984
FactSet Research Systems,19960627,1978
Multiple Zones International,19960627,1988
Qiagen,19960627,1996
Siebel Systems,19960627,1993
Smithway Motor Xpress,19960627,1958
Teleport Communications Group,19960627,1968
Travis Boats & Motors,19960627,1979
Trex Medical,19960627,1995
Apache Medical Systems,19960628,1989
American Materials & Techs,19960701,1995
American Pad & Paper,19960701,1992
C/NET,19960701,1995
Channell Commercial,19960701,1952
Phoenix International Ltd.,19960701,1993
Printware,19960701,1985
Drilex,19960702,1994
IXC Communications,19960702,1992
North Face,19960702,1964
OneWave,19960702,1994
Printrak International,19960702,1974
United Payors & United,19960702,1995
Elbit Vision Systems,19960703,1994
Nuwave Technologies,19960703,1995
Cluckcorp International,19960709,1993
Capital Factors Holdings,19960710,1984
Maxim Pharmaceuticals,19960710,1954
RemedyTemp,19960711,1965
Precision Response,19960716,1982
Cadus Pharmaceutical,19960717,1992
Coinmach Laundry,19960717,1948
Karrington Health,19960718,1989
Pegasystems,19960718,1983
Sterile Recoveries,19960718,1991
Versant Object Technology,19960718,1988
Black Rock Golf,19960719,1994
Claremont Technology Group,19960719,1989
FBL Financial Group,19960719,1949
Pacific Gateway Exchange,19960719,1991
Farm Family Holdings,19960722,1975
First Enterprise Financl Grp,19960722,1990
Restrac,19960722,1982
Object Design,19960723,1988
Universal Outdoor Holdings,19960723,1975
Visual Edge Systems,19960724,1994
American Disposal Services,19960725,1991
First Alliance,19960725,1975
Optika Imaging Systems,19960725,1988
Research Engineers,19960725,1977
Strayer Education,19960725,1892
Calypte Biomedical,19960726,1989
Ventana Medical Systems,19960726,1985
Caribbean Cigar,19960730,1994
GKN Holding,19960730,1987
Geron,19960730,1990
Source Services,19960730,1963
TV Filme,19960730,1994
Golden Bear Golf,19960731,1996
Silicon Gaming,19960731,1993
TeleTech Holdings,19960731,1982
Einstein Bros Bagels,19960801,1989
FPIC Insurance Group,19960801,1975
Lamar Advertising,19960801,1902
Steinway Musical Instruments,19960801,1900
Cambridge Heart,19960802,1990
SelfCare,19960805,1992
Alternative Living Services,19960806,1981
SoloPoint,19960806,1993
TriTeal,19960806,1993
Amarillo Biosciences,19960807,1984
Guess,19960807,1981
Bank United,19960808,1988
Carriage Services,19960808,1991
HealthCor Holdings,19960808,1984
National Processing,19960808,1979
Raster Graphics,19960808,1987
SRS Labs,19960808,1993
TeleSpectrum Worldwide,19960808,1931
Visigenic Software,19960808,1993
Aware,19960809,1986
Hambrecht & Quist Group,19960809,1968
Hvide Marine,19960809,1958
Midcoast Energy Resources,19960809,1992
Telco Communications Group,19960809,1968
HumaScan,19960812,1994
NetLive Communications,19960812,1995
Pioneer Commercial Funding,19960812,1980
Ace*Comm,19960813,1983
Dal-Tile International,19960813,1947
Dynamex,19960813,1992
Paracelsus Healthcare,19960813,1980
ABT Global Pharmaceutical,19960814,1994
CONNECT,19960814,1987
Dailey Petroleum Services,19960814,1996
Dura Automotive Systems,19960814,1990
MIM,19960814,1993
Consolidated Cigar Holdings,19960815,1993
Interlink Computer Sciences,19960815,1985
Signature Resorts,19960815,1992
Willbros Group,19960815,1908
CCC Information Srvcs Group,19960816,1983
E*Trade Group,19960816,1982
Service Experts,19960816,1991
Atria Communities,19960820,1985
CapStar Hotel,19960820,1988
R&G Financial,19960822,1990
TransAct Technologies,19960822,1996
Metro One Telecommunications,19960823,1989
Stericycle,19960823,1989
New York Bagel Enterprises,19960827,1996
CompuRAD,19960828,1992
Gradall Industries,19960828,1985
Hollywood Productions,19960910,1995
American Craft Brewing,19960911,1994
Diedrich Coffee,19960911,1972
QEP,19960917,1979
Cymer,19960918,1986
Internatnl Network Services,19960918,1991
RMH Teleservices,19960918,1986
Rental Service,19960918,1930
Thermo BioAnalysis,19960918,1995
Willis Lease Finance,19960918,1988
Applied Analytical Industries,19960919,1979
Calpine,19960919,1984
Houston Exploration,19960919,1986
Document Sciences,19960920,1991
Technology Modeling Assocs,19960920,1979
Cross-Continent Auto Retlrs,19960923,1982
Hot Topic,19960923,1988
American Residential Services,19960924,1970
Snyder Communications,19960924,1988
Abercrombie & Fitch,19960925,1946
Algos Pharmaceutical,19960925,1992
Coffee People,19960925,1985
Ensec International,19960925,1983
Halter Marine Group,19960925,1972
Industri-Matematik,19960925,1967
LCC International,19960925,1983
Ocwen Financial,19960925,1988
Peerless Systems,19960925,1982
Rofin-Sinar Technologies,19960925,1987
Tri-Point Medical,19960925,1990
Abacus Direct,19960926,1996
CellNet Data Systems,19960926,1984
Kapson Senior Quarters,19960926,1972
NeoTherapeutics,19960926,1987
RockShox,19960926,1989
Staffmark,19960926,1973
TAG Heuer International,19960926,1860
Univision Communications,19960926,1992
Xionics Document Technologies,19960926,1992
Cox Radio Inc,19960927,1982
Gargoyles,19960927,1983
Intelligroup,19960927,1987
Leap Group,19960927,1993
Lightbridge,19960927,1989
Mansur Industries,19960927,1990
Nitinol Medical Technologies,19960927,1986
Orckit Communications,19960927,1990
Advanced Fibre Communications,19960930,1992
Film Roman,19960930,1983
Storm Technology,19960930,1990
CN Biosciences,19961002,1975
Control Devices,19961002,1960
Costilla Energy,19961002,1988
Medi-Ject,19961002,1979
Advanced Health,19961003,1993
Cornell Corrections,19961003,1994
Dover Downs Entertainment,19961003,1994
Integrated Living Communities,19961003,1995
Peerless Group,19961003,1989
Pegasus Communications,19961003,1996
Metzler Group,19961004,1983
EVEREN Capital,19961007,1990
Advance Paradigm,19961008,1987
Chicago Pizza & Brewery,19961008,1991
Gulfstream Aerospace,19961009,1956
Kitty Hawk,19961009,1980
Lason Inc,19961009,1985
Markwest Hydrocarbon,19961009,1996
Splash Technology Holdings,19961009,1992
Suburban Ostomy Supply,19961009,1962
Hibbett Sporting Goods,19961010,1945
QuadraMed,19961010,1993
Superior Consultant Holdings,19961010,1984
Trusted Information Systems,19961010,1983
FaxSav,19961011,1989
Intensiva Healthcare,19961011,1994
Medical Alliance,19961011,1989
Sabre Group Holdings,19961011,1976
Superior Telecom,19961011,1954
White Pine Software,19961011,1992
Xomed Surgical Products,19961011,1969
Carson,19961014,1996
Memco Software,19961015,1994
ArQule,19961016,1993
Digex,19961016,1990
Metro Networks,19961016,1996
Metrogolf,19961016,1992
TALX,19961016,1973
Transkaryotic Therapies,19961016,1988
Specialty Catalog,19961017,1989
Viatel,19961017,1991
XLConnect Solutions,19961017,1990
Community Care Services,19961018,1992
Matrix Capital,19961018,1993
Memberworks,19961018,1989
Spatial Technology,19961018,1986
Summit Design,19961018,1993
ACI Telecentrics,19961021,1987
Image Guided Technologies,19961021,1986
ONTRACK Data International,19961021,1985
Alyn,19961022,1996
Wild Oats Markets,19961022,1987
CyberMedia,19961023,1991
Homegate Hospitality,19961023,1996
SmarTalk TeleServices,19961023,1994
United Auto Group,19961023,1990
Enamelon,19961024,1992
Interntnl Telecommuncation,19961024,1990
Metris Companies,19961024,1993
PJ America,19961024,1996
QC Optics,19961024,1986
Stage Stores,19961024,1967
US Franchise Systems,19961024,1995
Uroquest Medical,19961024,1996
V-One,19961024,1993
Award Software International,19961025,1983
Cubist Pharmaceuticals,19961025,1992
Granite Financial,19961025,1988
Infinity Financial Technology,19961025,1989
Javelin Systems,19961025,1995
Simulation Sciences,19961025,1962
Thinking Tools Inc,19961025,1993
Triumph Group,19961025,1993
Educational Medical,19961028,1988
Instrumentation Laboratory,19961028,1959
National-Oilwell,19961028,1987
Aurum Software,19961029,1991
Dominick's Supermarkets,19961029,1941
Imatec,19961029,1988
Metropolitan Financial,19961029,1958
Bitstream,19961030,1981
Depuy,19961030,1968
Donnelley Enterprise Slns,19961030,1988
Education Management,19961030,1989
Midway Games,19961030,1988
Voxware,19961030,1993
Boston Biomedica,19961031,1978
Delta Financial,19961031,1996
Ingram Micro,19961031,1979
New Holland,19961031,1900
Prime Service,19961031,1957
Ridgeview,19961031,1912
Triangle Pharmaceuticals,19961031,1995
Allin Communications,19961101,1994
Kevco,19961101,1964
Offshore Energy Development,19961101,1988
Room Plus,19961101,1982
Synthetic Industries,19961101,1969
United Natural Foods,19961101,1978
Vitech America,19961101,1993
ZAG Industries,19961101,1987
International Speedway,19961104,1953
SeaChange International,19961104,1993
Advanced Radio Telecom,19961105,1993
Aviron,19961105,1992
Candlewood Hotel Company,19961105,1996
Symons International Group,19961105,1987
Tellurian,19961105,1988
Integrated Medical Resources,19961106,1991
NCO Group,19961106,1926
Applied Imaging,19961107,1987
Information Management,19961107,1982
Primus Telecommunications,19961107,1904
Autobond Acceptance,19961108,1993
IA Corp,19961108,1992
Viisage Technology,19961108,1993
ProSource,19961111,1992
Bristol Technology Systems,19961112,1996
Miami Computer Supply,19961112,1981
O'Gara,19961112,1876
American Medserve,19961113,1993
Decor Group,19961113,1964
Florida Panthers Holdings,19961113,1996
Monterey Resources,19961113,1905
Steiner Leisure,19961113,1939
MLC Holdings Inc,19961114,1990
Twinlab,19961115,1968
Deutsche Telekom,19961117,1920
Gold Banc Corporation,19961118,1985
Rankin Automotive Group,19961118,1978
SeaMED,19961118,1976
Ticketmaster Group,19961118,1988
3Dlabs Inc.,19961119,1994
CV Therapeutics,19961119,1990
Mego Mortgage,19961119,1954
ViroPharma,19961119,1994
Geotel Communications,19961120,1993
Panavision Inc,19961120,1954
Applied Intelligence Group,19961121,1985
Integrated Surgical Systems,19961121,1990
Mazel Stores,19961121,1975
Nu Skin Asia Pacific,19961121,1991
Obie Media Corporation,19961121,1987
Rogue Wave Software,19961121,1989
Steel Dynamics,19961121,1993
Styling Technology,19961121,1993
Brilliant Digital Ent,19961122,1996
Ciao Cucina,19961122,1992
HealthCare Financial Partners,19961122,1993
CB Commercial Holdings,19961125,1906
Linens`n Things,19961125,1975
Manchester Equipment,19961125,1973
Firearms Training Systems,19961126,1984
Forrester Research,19961126,1983
Genesis Energy LP,19961126,1996
Roadhouse Grill,19961126,1993
Think New Ideas,19961126,1996
UOL Publishing,19961126,1984
West Teleservices,19961126,1986
"Leading Edge Packaging, Inc.",19961202,1995
Translation Group,19961202,1995
ViaSat,19961203,1986
Puma Technology,19961204,1993
TTI Team Telecom Internatnl,19961204,1987
WebSecure,19961204,1995
Poore Brothers Distributing,19961206,1990
Powerwave Technologies,19961206,1985
Ecomat,19961210,1995
Team America,19961210,1986
All American Food Group,19961211,1993
Cal-Maine Foods,19961211,1969
MoneyGram Payment Systems,19961211,1988
SkyMall,19961211,1989
Streicher Mobile Fueling,19961211,1983
Vivid Technologies,19961211,1989
Factory Card Outlet,19961212,1985
TMP/Worldwide,19961212,1967
Versatility,19961212,1981
World Heart,19961212,1996
First Virtual Holdings,19961213,1994
Tramford International,19961213,1993
Aftermarket Technology,19961216,1994
Digital Power,19961216,1969
Titan Exploration,19961216,1996
Bowlin Outdoor Advtg & Travel,19961217,1953
Intellicell,19961217,1991
Mastech,19961217,1991
Procom Technology,19961217,1987
Swisher International Group,19961217,1961
Accent Color Sciences,19961218,1993
Amscan Holdings,19961218,1958
BA Merchant Services,19961218,1986
Credit Management Solutions,19961218,1987
Larscom,19961218,1989
Lithia Motors,19961218,1946
Millbrook Press,19961218,1989
Delia's,19961219,1993
Patient Infosystems,19961219,1995
Wilshire Financial Services,19961219,1994
3DX Technologies,19961220,1992
First Mariner Bancorp,19961220,1994
Sun Hydraulics Corp,19970109,1986
Aramex International Limited,19970113,1982
Eco Soil Systems Inc,19970117,1987
Healthdesk Corp,19970117,1992
EarthLink Network Inc,19970121,1994
CD Warehouse Inc,19970122,1996
Eltek Ltd,19970122,1970
SEEC Inc,19970122,1988
Transcrypt International Inc,19970122,1978
RDO Equipment Co,19970123,1968
Administaff Inc,19970128,1986
AmerUs Life Holdings Inc,19970128,1896
Coldwater Creek Inc,19970128,1983
Coulter Pharmaceuticals Inc,19970128,1995
Medirisk Inc,19970128,1983
Medialink Worldwide Inc,19970129,1986
Metro Information Services Inc,19970129,1979
National Auto Finance Company,19970129,1994
Photoelectron Corp,19970129,1989
SCPIE Holdings Inc,19970129,1991
Template Software Inc,19970129,1978
Cerus Corp,19970130,1991
EPIX Medical Inc,19970130,1988
HomeSide Inc,19970130,1991
Medical Manager Corp,19970130,1982
Trigon Healthcare Inc,19970130,1935
Crystal Systems Solutions Ltd,19970131,1987
Electronic Processing Inc,19970203,1988
ErgoBilt Inc,19970203,1995
NovAtel Inc,19970203,1978
Premier Research Worldwide Inc,19970203,1977
Vail Resorts Inc,19970203,1980
Aastrom Biosciences Inc,19970204,1989
CarMax Group,19970204,1956
Brunswick Technologies Inc,19970205,1984
Digital Lightwave Inc,19970205,1990
Preferred Employers Holdings,19970205,1997
Yurie Systems Inc,19970205,1992
Four Seasons Hotels Inc,19970206,1989
Knightsbridge Tankers Ltd,19970206,1996
Specialty Care Network Inc,19970206,1996
CIENA Corp,19970207,1992
Four Media Company,19970207,1993
General Bearing Corp,19970207,1958
Puro Water Group Inc,19970207,1994
Coast Dental Services Inc,19970210,1992
NAVIDEC Inc,19970210,1993
"Community Capital, Greenwood",19970211,1989
Independence Brewing Co,19970211,1994
Biosite Diagnostics,19970212,1988
Birman Managed Care Inc,19970212,1994
DAOU Systems Inc,19970212,1986
Profile Technology Inc,19970212,1995
Qualix Group Inc,19970212,1990
Radiant Systems Inc,19970212,1985
Wesley Jessen,19970212,1946
Advanced Electronic Support,19970213,1983
Gentle Dental Service Corp,19970213,1991
Silgan Holdings Inc,19970213,1987
Judge Group Inc,19970214,1970
SAC Technologies Inc,19970214,1993
TTR Inc,19970214,1994
Micro Therapeutics Inc,19970218,1993
VDI Media,19970218,1990
Apex PC Solutions Inc,19970219,1990
Brylane Inc,19970220,1924
ILEX Oncology Inc,19970220,1994
Metropolitan Health Networks,19970220,1996
Overland Data Inc,19970221,1980
US Rentals Inc,19970221,1987
Deltek Systems Inc,19970225,1993
Edge Petroleum Corp,19970225,1982
Special Metals Corp,19970225,1952
NACT Telecommunications(GST),19970226,1982
First Aviation Services Inc,19970227,1995
Vistana Inc,19970227,1980
General Cigar Holdings Inc,19970228,1906
Mercury Waste Solutions Inc,19970228,1995
AmeriTrade Holding Corp,19970303,1971
Aviation Distributors Inc,19970304,1992
Riviera Tool Co,19970304,1988
Zindart Industrial Co Ltd,19970304,1978
Complete Business Solutions,19970305,1985
Nationwide Financial Services,19970305,1976
Emcore Corp,19970306,1984
Euronet Services Inc,19970306,1994
ATL Products Inc,19970307,1990
Kos Pharmaceuticals Inc,19970307,1988
Pluma Inc,19970310,1986
Storage Dimensions Inc,19970311,1992
Total Control Products Inc,19970311,1982
Macrovision Corp,19970312,1983
ProMedCo Management Company,19970312,1994
Guitar Center Inc,19970313,1964
NeoMagic Corp,19970313,1993
Euro Tech Holdings Company Ltd,19970314,1971
Colonial Downs Holdings Inc,19970317,1996
Endocardial Solutions Inc,19970319,1992
Fieldworks Inc,19970319,1992
Genisys Reservation Systems,19970320,1986
Omniquip International Inc,19970320,1956
PalEx Inc,19970320,1996
Physicians Specialty Corp,19970320,1996
Cell Therapeutics Inc,19970321,1991
Intrawest Corp,19970324,1979
Asia Pacific Wire & Cable Corp,19970326,1985
Chicago Bridge and Iron Co NV,19970326,1889
IAT Multimedia Inc,19970326,1996
AHL Services Inc,19970327,1979
Gulf Island Fabrication Inc,19970403,1985
Objective Communication Inc,19970403,1993
e-NET Inc,19970407,1995
Nexar Technologies Inc,19970408,1995
Peregrine Systems Inc,19970408,1981
Meade Instruments Corp,19970409,1972
Scoop Inc,19970409,1990
BEA Systems Inc,19970410,1995
Valley National Gases Inc,19970410,1958
AccelGraphics Inc,19970411,1994
Take-Two Interactive Software,19970414,1993
ASI Solutions Inc,19970415,1978
DeCrane Aircraft Holdings Inc,19970416,1989
D.G. Jewellery of Canada Ltd,19970417,1979
Essex International,19970417,1930
ONSALE Inc,19970417,1995
Dunn Computer Corporation,19970421,1987
Go2Net Inc,19970423,1996
Hertz Corp,19970424,1923
Bionx Implants Inc,19970425,1955
Long Beach Financial,19970428,1988
International CompuTex Inc,19970429,1991
DOCdata(Koninklijke Begemann),19970430,1988
Flagstar Bancorp Inc,19970430,1993
Weider Nutrition International,19970430,1940
Brookdale Living Communities,19970501,1981
DTM Corp,19970502,1987
Marine Management Systems Inc,19970502,1969
HomeCom Communications Inc,19970506,1994
Kaynar Technologies Inc,19970506,1943
Journal Register Co,19970507,1901
Brigham Exploration Co,19970508,1990
Knoll Inc,19970509,1938
Augment Systems Inc,19970512,1990
ASD Group Inc,19970513,1965
Rambus Inc,19970513,1990
Amazon.com Inc,19970515,1994
First Sierra Financial Inc,19970515,1994
General Cable Corp,19970515,1927
LHS Group Inc,19970515,1990
Lexington Healthcare Group,19970519,1995
Hartford Life,19970521,1968
Healthcare Recoveries Inc,19970521,1988
MER Telemanagement Solutions,19970521,1995
NEI Webworld Inc,19970521,1993
Summit Holding Southeast Inc,19970521,1977
Apple Orthodontix Inc,19970522,1996
CFI Mortgage Inc,19970527,1989
Carey International Inc,19970527,1979
DSI Toys Inc,19970528,1970
Ascent Pediatrics Inc,19970529,1989
NetSpeak Corp,19970529,1995
American Retirement Corp,19970530,1978
RF Micro Devices Inc,19970603,1991
Melita International Corp,19970604,1979
Pameco Corp,19970604,1988
Cardima Inc,19970605,1992
PSW Technologies Inc,19970605,1989
Silverleaf Resorts Inc,19970605,1989
Conserver Corp of America,19970606,1996
Iridium World Communications,19970609,1991
Santa Fe International Corp,19970609,1946
Compu-Dawn Inc,19970610,1983
HTE Inc,19970610,1981
JetFax Inc,19970610,1988
Peapod Inc,19970610,1989
Polo Ralph Lauren Corp,19970611,1968
Racing Champions Inc,19970611,1989
IWL Communications Inc,19970612,1980
Maximus Inc,19970612,1975
OptiSystems Solutions Ltd,19970612,1982
Star Telecommunications Inc,19970612,1993
Waste Industries Inc,19970613,1970
Genesys Telecommun Labs,19970617,1990
ORBIT/FR,19970617,1985
SysComm International Corp,19970617,1987
inTEST Corporation,19970617,1981
ARM Financial Group Inc,19970618,1993
Aris Corp,19970618,1990
New Era of Networks Inc,19970618,1993
Simulations Plus Inc,19970618,1996
Star-Tek Inc,19970618,1990
Aurora Biosciences Corp,19970619,1995
Great Plains Software Inc,19970619,1981
Laser Power Corp,19970619,1983
Professional Transportation,19970619,1990
RWD Technologies Inc,19970619,1988
Metrika Systems Corp,19970620,1980
Peak International Ltd,19970620,1997
Domain Energy Corporation,19970623,1992
Qwest Communications Corp,19970623,1988
Acorn Products Inc,19970624,1890
"Life Financial Corp, CA",19970624,1996
Saxton Inc,19970624,1986
Waterlink Inc,19970624,1994
3Dfx Interactive Inc,19970625,1994
New Century Financial Corp,19970625,1995
Staff Leasing,19970625,1993
800-JR Cigar Inc,19970626,1970
JLK Direct Distribution Inc,19970626,1970
Robocom Systems Inc,19970626,1982
Advanced Communication Systems,19970627,1987
Comfort Systems USA Inc,19970627,1947
Hanover Compressor,19970630,1990
Heska Corp,19970630,1988
Pierce Leahy Corp,19970630,1992
Schuff Steel Co,19970630,1976
Cal Dive International Inc,19970701,1975
ChromaVision Medical Systems,19970701,1996
LAI Worldwide Inc,19970701,1967
Schick Technologies Inc,19970701,1992
SpectRx Inc,19970701,1992
TSI International Software Ltd,19970701,1985
8x8 Inc,19970702,1987
Centennial HealthCare Corp,19970702,1989
Coinstar Inc,19970702,1991
Peritus Software Services Inc,19970702,1991
Transcend Therapeutics Inc,19970702,1992
Vista Medical Technologies Inc,19970702,1993
Hagler Bailly Inc,19970703,1980
Allstar Systems Inc,19970707,1983
Axiom Inc,19970708,1967
HORIZON Pharmacies Inc,19970708,1992
World of Science Inc,19970708,1969
Telegroup Inc,19970709,1989
Apollo International of,19970710,1994
InfoCure Corp,19970710,1996
Metals USA Inc,19970710,1996
At Home Corp,19970711,1995
Home Security International,19970715,1990
Bank of the Ozarks,19970717,1981
LaSalle Partners Inc,19970717,1968
Monarch Dental Corp,19970717,1983
Total Entertainment Restaurant,19970717,1989
Friede Goldman International,19970721,1982
RIT Technologies Ltd,19970722,1989
Travel Services International,19970722,1996
Excelsior-Henderson Motorcycle,19970723,1993
JLM Industries Inc,19970723,1986
Novel Denim Holdings Ltd,19970723,1989
Trailer Bridge Inc,19970723,1991
CMP Media Inc,19970724,1971
Galileo International,19970724,1971
Scheid Vineyards Inc,19970724,1972
Bioreliance Corp,19970728,1947
