company,ipo,founding
JEFFERSON-WILLIAMS,19810901,1974
STAN WEST MINING,19810901,1979
BOLT TECHNOLOGY,19810902,1962
CARDILLO TRAVEL SYSTMS,19810910,1935
DATA MEASUREMENT,19810915,1962
PRAB ROBOTS,19810917,1961
HOME DEPOT,19810922,1978
SWITCHCO,19810922,1981
CYCARE SYSTEMS,19810923,1969
SEAGATE TECHNOLOGY,19810924,1978
ASK COMPUTER SYSTEMS,19811001,1974
CORVUS SYSTEMS,19811002,1979
CIPHER DATA PRODUCTS,19811006,1968
RIO GRANDE DRILLING,19811014,1978
VECTOR GRAPHIC,19811014,1976
CARL KARCHER,19811015,1966
PIZZA VENTURES,19811015,1978
SIPPICAN OCEAN SYSTEMS,19811015,1958
GARCIA'S OF SCOTTSDALE,19811016,1979
INSITUFORM EAST,19811020,1970
DATAPOWER,19811021,1969
INT'L GAME TECHNOLOGY,19811022,1978
COLLAGEN,19811023,1975
FONAR,19811023,1978
KENTUCKY HORSE CENTER,19811023,1981
HORNBECK OFFSHORE SVS,19811028,1978
HYBRITECH,19811028,1978
SEISDATA SERVICES,19811028,1977
DALE ELECTRONICS,19811029,1951
NAUGLE'S,19811029,1965
UNITED CABLE TV DENVER,19811029,1981
METRO AIRLINES,19811030,1969
COMPUTONE SYSTEMS,19811104,1965
GULF NUCLEAR,19811104,1971
INSTACOM,19811104,1975
PETROSYSTEMS,19811104,1981
BRACKEN EXPLORATION,19811105,1975
HINDERLITER ENRGY,19811105,1950
MONCHIK-WEBER,19811110,1970
COM SYSTEMS,19811117,1975
SYSCON,19811117,1966
VISUAL TECHNOLOGY,19811117,1978
COMMUNICATIONS SYSTEMS,19811118,1969
ALEXANDER ENERGY,19811119,1980
UNITED STATIONERS,19811124,1922
UNIMATION,19811125,1962
EIKONIX,19811202,1968
HEALTHDYNE,19811208,1970
A.H. BELO,19811209,1926
COMPUTER ASSOCIATES,19811209,1974
GANDALF TECHNOLOGY,19811209,1971
H&H OIL TOOL,19811209,1953
ADVANCED FUEL SYSTEMS,19811210,1980
AVIATION GROUP,19811210,1977
HEALTH CARE & RETIRMNT,19811210,1944
NUCLEAR SUPPORT SVS.,19811215,1973
POLICY MANAGEMENT SYS.,19811216,1910
SUMMIT OILFIELD,19811222,1967
ESSEX,19811223,1969
LEXIDATA,19811223,1974
COMPUTER MEMORIES,19820107,1979
ELAN PHARMACEUTICAL RESEARCH,19820119,1981
INT'L ROBOMATION,19820121,1980
GENERAL PRODUCTION,19820127,1980
CRIME CONTROL,19820129,1977
CSP INC,19820129,1968
LTX CORP,19820202,1976
TECH FOR COMM,19820202,1968
EMC INSURANCE,19820204,1974
VORTEC CORP,19820204,1964
COLLABORATIVE,19820211,1961
HOME HEALTH CARE,19820303,1979
KASLER CORP,19820316,1947
LAIDLAW IND,19820330,1981
SYNTREX INC,19820330,1979
CASTLE ENTERTAINMENT,19820402,1981
GODFATHERS PIZZA,19820406,1976
SPACE MICROWAVE,19820406,1969
COMPUTER INPUT,19820422,1969
REXON BUSINESS,19820422,1978
UNITED BANKERS,19820422,1977
DATASWITCH,19820427,1977
TCA CABLE TV,19820430,1981
COMMUN GROUP,19820506,1968
CONVERGENT TECH,19820518,1979
TECHNICOM INT'L,19820525,1981
BPI SYSTEMS,19820603,1979
DIAGNOSTIC PRODUCTS,19820608,1971
MOLECULAR GENETICS,19820610,1952
INTERMETRICS,19820629,1969
MULTI-TECH,19820708,1981
TERA CORP,19820708,1974
RYAN'S FAMILY,19820713,1977
SUPER SKY INT'L,19820720,1970
ATLANTIC SE AIR,19820721,1979
CPI CORP,19820729,1979
FOSTER MEDICAL,19820805,1980
ENVIRONMENTAL TESTING AND C,19820811,1981
ELECTRONIC MAIL CORP OF AMER,19820817,1980
UNIVERSAL MONEY,19820820,1981
VICORP RESTAURANTS,19820826,1959
FAMILY ENTERTAINMENT,19820901,1980
NORTH FORK Bancorporation,19820902,1981
ELECTRONIC THEATRE RESTAUR,19820909,1980
ELECTRONICS CORP OF ISRAEL,19820915,1961
